Date	County	State	Vehicle Primary Use	Battery Electric Vehicles (BEVs)	Plug-In Hybrid Electric Vehicles (PHEVs)	Electric Vehicle (EV) Total	Non-Electric Vehicle Total	Total Vehicles	Percent Electric Vehicles	Year
September 30 2022	Riverside	CalifOregonnIoWashington	Passenger	7	0	7	460	467	1.5	2022
December 31 2022	Prince William	Virginia	Passenger	1	2	3	188	191	1.57	2022
January 31 2020	Dakota	MinNebraskasota	Passenger	0	1	1	32	33	3.03	2020
June 30 2022	Ferry	Washington	Truck	0	0	0	"3,575"	"3,575"	0	2022
July 31 2021	Douglas	ColOregonado	Passenger	0	1	1	83	84	1.19	2021
May 31 2018	Maui	HaWashingtonii	Passenger	1	0	1	59	60	1.67	2018
November 30 2017	Northampton	 PennsylVirginiania	Passenger	0	1	1	66	67	1.49	2017
March 31 2018	Nassau	 New YOregonk	Passenger	1	0	1	37	38	2.63	2018
March 31 2020	DeKalb	INorth Dakotaiana	Passenger	1	0	1	1	2	50	2020
January 31 2019	Columbia	Washington	Truck	0	0	0	"1,529"	"1,529"	0	2019
February 28 2017	Maui	HaWashingtonii	Passenger	1	0	1	73	74	1.35	2017
September 30 2017	Orleans	Louisiana	Passenger	0	1	1	45	46	2.17	2017
December 31 2018	Ramsey	MinNebraskasota	Passenger	1	0	1	41	42	2.38	2018
November 30 2020	Manassas	Virginia	Passenger	0	1	1	5	6	16.67	2020
February 29 2020	Montgomery	ALouisianaba Massachusetts	Passenger	0	1	1	38	39	2.56	2020
August 31 2019	Albemarle	Virginia	Passenger	1	0	1	23	24	4.17	2019
May 31 2020	Monroe	IllINorth Dakotaianaois	Passenger	1	0	1	3	4	25	2020
December 31 2021	San Diego	CalifOregonnIoWashington	Passenger	17	6	23	"2,541"	"2,564"	0.9	2021
June 30 2021	Skamania	Washington	Truck	0	0	0	"4,026"	"4,026"	0	2021
January 31 2017	Douglas	Washington	Truck	0	0	0	"11,425"	"11,425"	0	2017
October 31 2022	Washington	Oregon	Passenger	1	0	1	296	297	0.34	2022
December 31 2022	Sarpy	Nebraska	Passenger	1	0	1	57	58	1.72	2022
February 29 2020	Owyhee	Idaho	Passenger	1	0	1	3	4	25	2020
June 30 2022	Clinton	 PennsylVirginiania	Passenger	1	0	1	1	2	50	2022
May 31 2022	Yakima	Washington	Truck	0	0	0	"61,408"	"61,408"	0	2022
October 31 2017	Virginia Beach	Virginia	Passenger	2	1	3	651	654	0.46	2017
May 31 2020	Sedgwick	Kansas	Passenger	1	1	2	96	98	2.04	2020
September 30 2021	Kittitas	Washington	Truck	0	0	0	"14,783"	"14,783"	0	2021
April 30 2021	Asotin	Washington	Passenger	19	14	33	"12,651"	"12,684"	0.26	2021
June 30 2021	San Francisco	CalifOregonnIoWashington	Passenger	0	1	1	100	101	0.99	2021
June 30 2017	Charles	M ArkansaskansasylaNorth Dakota	Passenger	0	1	1	89	90	1.11	2017
June 30 2022	Richmond	 New YOregonk	Passenger	1	0	1	4	5	20	2022
January 31 2022	Carson City	NeVirginiada	Passenger	1	0	1	9	10	10	2022
July 31 2020	Santa Clara	CalifOregonnIoWashington	Passenger	9	2	11	300	311	3.54	2020
June 30 2021	Harris	Texas	Passenger	1	1	2	223	225	0.89	2021
November 30 2021	King	Washington	Truck	6	1	7	"1,83,257"	"1,83,264"	0	2021
April 30 2021	Suffolk	Virginia	Passenger	1	0	1	125	126	0.79	2021
February 28 2022	Clallam	Washington	Truck	1	0	1	"22,088"	"22,089"	0	2022
June 30 2019	Clay	FlOregonIdahoa	Passenger	0	1	1	88	89	1.12	2019
March 31 2019	El Paso	Texas	Passenger	2	0	2	495	497	0.4	2019
July 31 2019	Montgomery	M ArkansaskansasylaNorth Dakota	Passenger	1	0	1	283	284	0.35	2019
August 31 2023	Harford	M ArkansaskansasylaNorth Dakota	Passenger	1	1	2	42	44	4.55	2023
October 31 2020	Franklin	Washington	Passenger	73	78	151	"61,083"	"61,234"	0.25	2020
May 31 2022	Burlington	New Jersey	Passenger	0	2	2	112	114	1.75	2022
May 31 2022	Kings	 New YOregonk	Passenger	1	0	1	62	63	1.59	2022
June 30 2023	Washtenaw	Michigan	Passenger	0	2	2	21	23	8.7	2023
April 30 2020	Manassas	Virginia	Passenger	0	1	1	5	6	16.67	2020
December 31 2021	Whatcom	Washington	Passenger	"1,643"	673	"2,316"	"1,49,887"	"1,52,203"	1.52	2021
September 30 2023	Whitman	Washington	Passenger	177	86	263	"21,953"	"22,216"	1.18	2023
March 31 2021	Stevens	Washington	Passenger	38	43	81	"30,298"	"30,379"	0.27	2021
April 30 2019	Douglas	Washington	Passenger	55	34	89	"27,968"	"28,057"	0.32	2019
January 31 2018	Benton	Washington	Passenger	175	179	354	"1,30,615"	"1,30,969"	0.27	2018
May 31 2020	Kern	CalifOregonnIoWashington	Passenger	0	1	1	228	229	0.44	2020
October 31 2021	Kittitas	Washington	Truck	0	0	0	"14,774"	"14,774"	0	2021
December 31 2021	Grant	Washington	Truck	0	0	0	"27,988"	"27,988"	0	2021
June 30 2020	Nueces	Texas	Passenger	1	0	1	80	81	1.23	2020
September 30 2023	Kings	CalifOregonnIoWashington	Passenger	2	2	4	264	268	1.49	2023
April 30 2017	Jackson	MissouRhoDelaware IslaNorth Dakota	Passenger	1	0	1	70	71	1.41	2017
April 30 2023	Polk	Oregon	Passenger	1	1	2	15	17	11.76	2023
